Run,Date,Instrument,Plate,Sample,Index,Reject,VIC_Target 2,VIC_Target 2_pos
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,46,FALSE,3000.8,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,47,FALSE,166.08,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,48,FALSE,2444,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,49,FALSE,298.15,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,50,FALSE,297.34,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,51,FALSE,2763.6,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,52,FALSE,2685.1,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,53,FALSE,175.06,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,54,FALSE,2644.7,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,55,FALSE,272.46,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,56,FALSE,288.46,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,57,FALSE,2514.9,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,58,FALSE,3355,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,59,FALSE,218.87,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,60,FALSE,261.71,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,61,FALSE,3463.9,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,62,FALSE,316.59,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,63,FALSE,2237.1,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,64,FALSE,2529,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,65,FALSE,3026.1,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,66,FALSE,3148.1,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,67,FALSE,2391.7,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,68,FALSE,2998.5,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,69,FALSE,294.03,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,70,FALSE,2180.4,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,71,FALSE,3028.1,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,72,FALSE,248.94,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,73,FALSE,270.15,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,74,FALSE,2914.6,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,75,FALSE,219.25,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,76,FALSE,171.2,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,77,FALSE,380.93,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,78,FALSE,204.38,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,79,FALSE,306.15,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,80,FALSE,287.56,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,81,FALSE,257.24,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,82,FALSE,2990.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,83,FALSE,214.19,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,84,FALSE,204.97,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,85,FALSE,2808.4,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,86,FALSE,210.72,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,87,FALSE,237.59,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,88,FALSE,288.29,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,89,FALSE,2330.8,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,90,FALSE,246.43,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,91,FALSE,225.04,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,92,FALSE,288.95,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,93,FALSE,2319.9,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,94,FALSE,3439.4,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,95,FALSE,247.77,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,96,FALSE,218.54,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,97,FALSE,2711.5,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,98,FALSE,284.28,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,99,FALSE,2314,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,100,FALSE,237.96,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,101,FALSE,338.63,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,102,FALSE,200.77,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,103,FALSE,3163.2,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,104,FALSE,246.37,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,105,FALSE,2589.7,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,106,FALSE,343.63,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,107,FALSE,189.74,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,108,FALSE,2858.8,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,109,FALSE,291.83,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,110,FALSE,2857.5,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,111,FALSE,2164.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,112,FALSE,194.16,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,113,FALSE,2481.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,114,FALSE,2871.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,115,FALSE,345.8,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,116,FALSE,2824.4,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,117,FALSE,188.04,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,118,FALSE,295.23,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,119,FALSE,2449.2,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,120,FALSE,219.2,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,121,FALSE,255.45,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,122,FALSE,2685.7,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,123,FALSE,179.39,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,124,FALSE,253.5,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,125,FALSE,2749.6,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,126,FALSE,3134.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,127,FALSE,243.5,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,128,FALSE,2376.8,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,129,FALSE,216.68,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,130,FALSE,277.27,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,131,FALSE,2455.5,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,132,FALSE,215.93,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,133,FALSE,282.53,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,134,FALSE,190.61,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,135,FALSE,217.73,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,136,FALSE,170,FALSE
