Run,Date,Instrument,Plate,Sample,Index,Reject,FAM_Target 1,FAM_Target 1_pos
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,1,FALSE,-295.71,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,2,FALSE,-523.84,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,3,FALSE,-397.34,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,4,FALSE,-248.45,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,5,FALSE,-146.52,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,6,FALSE,-241.59,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,7,FALSE,-210.02,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,8,FALSE,-263.89,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,9,FALSE,159.88,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,10,FALSE,-474.61,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,11,FALSE,-378,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,12,FALSE,-543.81,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,13,FALSE,-96.157,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,14,FALSE,-283.87,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,15,FALSE,-217.01,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,16,FALSE,-256.52,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,17,FALSE,-191.38,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,18,FALSE,-343.92,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,19,FALSE,-319.09,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,20,FALSE,-368.85,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,21,FALSE,-81.177,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,22,FALSE,-265.86,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,23,FALSE,23.459,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,24,FALSE,-411.05,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,25,FALSE,-283.76,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,26,FALSE,-356.87,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,27,FALSE,-271.49,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,28,FALSE,-454.89,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,29,FALSE,-410.94,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,30,FALSE,-342.1,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,31,FALSE,-405.27,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,32,FALSE,-378.84,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,33,FALSE,-337.21,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,34,FALSE,-313.8,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,35,FALSE,-266.23,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,36,FALSE,-312.85,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,37,FALSE,-276.29,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,38,FALSE,-435.92,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,39,FALSE,-316.23,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,40,FALSE,-353.29,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,41,FALSE,-412.94,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,42,FALSE,-396.27,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,43,FALSE,-177.65,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,44,FALSE,-408.89,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,45,FALSE,-452.02,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,46,FALSE,-470.55,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,47,FALSE,-529.99,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,48,FALSE,-269.27,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,49,FALSE,-294.4,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,50,FALSE,-330.4,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,51,FALSE,-398.2,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,52,FALSE,-123.47,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,53,FALSE,-480.45,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,54,FALSE,-299.29,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,55,FALSE,-403.19,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,56,FALSE,-246.81,FALSE
